doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,3599,3559,6986,67,189,32,4.146255,21.0311
91,71,3356,3557,6984,66,0,54,2.991867,17.83467
91,71,3874,3554,6982,83,306,111,2.186523,15.6608
91,71,3405,3551,6979,63,0,30,1.643829,13.99086
91,71,3059,3548,6977,32,0,8,1.977737,11.59738
91,71,3041,3545,6974,18,0,4,1.202988,11.83362
91,71,2655,3542,6972,10,0,1,0.9515839,13.30795
91,71,2482,3540,6969,13,0,2,0.9189911,16.20181
91,71,2469,3537,6967,13,0,8,0.9433594,16.69513
91,71,2516,3534,6965,15,0,23,1.183685,14.63971
91,71,2686,3531,6962,14,0,15,1.520889,12.8597
91,71,3273,3528,6960,50,115,87,1.968658,13.96846
91,71,3448,3526,6957,71,161,158,2.493652,19.96448
91,71,3093,3523,6955,44,108,68,3.020905,23.50113
91,71,2834,3520,6952,30,63,38,3.138092,21.89322
91,71,4518,3579,7007,90,452,120,8.992554,13.35089
91,71,4373,3576,7005,89,398,102,8.813156,15.77794
91,71,4467,3573,7002,89,411,110,8.103363,19.69861
91,71,3942,3571,7000,88,408,121,7.084869,24.11101
91,71,3547,3568,6997,75,333,68,6.670731,28.24785
91,71,3345,3565,6995,62,267,44,5.971939,29.16028
91,71,3275,3562,6992,56,218,40,4.241745,26.59459
91,71,2997,3559,6990,43,0,17,4.019333,19.8756
91,71,3105,3557,6987,33,0,9,3.203705,16.90846
91,71,3312,3554,6985,47,0,46,2.897095,15.94238
91,71,3109,3551,6983,31,0,9,2.219666,14.18118
91,71,2763,3548,6980,17,0,1,1.908737,12.2334
91,71,2476,3545,6978,8,0,1,1.500717,10.01582
91,71,2518,3542,6975,12,0,4,0.7409363,11.66553
91,71,2764,3540,6973,24,130,24,-0.04193115,15.49713
91,71,2681,3537,6970,27,0,36,0.1948395,18.28824
91,71,3215,3534,6968,47,118,89,0.2314301,18.68791
91,71,2581,3531,6966,14,84,18,0.600296,15.26253
91,71,2831,3528,6963,18,0,26,1.367157,16.48489
91,71,3183,3526,6961,37,0,49,1.505203,18.87961
91,71,3429,3523,6958,52,0,59,2.727463,23.57832
91,71,3300,3520,6956,57,115,81,3.0681,27.30873
91,71,3361,3517,6954,75,240,208,2.995071,27.75635
91,71,4677,3582,7013,87,438,121,9.044785,15.50546
91,71,4579,3579,7011,90,455,110,9.091553,16.53674
91,71,4080,3576,7008,86,423,107,8.919022,19.65645
